STATION,STATION_NAME,DATE,PRCP,SNOW,TSUN,TMAX,TMIN,AWND
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140411,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140412,0.16,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140413,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140414,0.04,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140415,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140416,1.07,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140417,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140418,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140419,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140420,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140421,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140422,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140423,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140424,0.29,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140425,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140426,0.03,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140427,0.55,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140428,0.06,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140429,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140430,0.04,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140501,1.46,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140502,0.20,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140503,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140504,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140505,0.03,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140506,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140507,0.00,-9999,-9999,-9999,-9999,-9999
